ckey,lat,long,alt
D10_20190202_211438_9653,31.73551,-95.98279,13
D10_20190202_211438_9653,31.73416,-95.97942,13
D10_20190202_211438_9653,31.73076,-95.97091,13
D10_20190202_211438_9653,31.7298,-95.96854,13
D10_20190202_211438_9653,31.72884,-95.96616,13
D10_20190202_211438_9653,31.72782,-95.96363,13
D10_20190202_211438_9653,31.72743,-95.96256,13
D10_20190202_211438_9653,31.72589,-95.95865,13
D10_20190202_211438_9653,31.725,-95.95643,13
D10_20190202_211438_9653,31.7241,-95.95421,13
D10_20190202_211438_9653,31.72327,-95.95214,13
D10_20190202_211438_9653,31.72243,-95.94991,13
D10_20190202_211438_9653,31.72147,-95.94754,13
D10_20190202_211438_9653,31.72064,-95.94532,13
D10_20190202_211438_9653,31.71968,-95.94287,13
D10_20190202_211438_9653,31.71878,-95.94057,13
D10_20190202_211438_9653,31.71782,-95.93812,13
D10_20190202_211438_9653,31.71699,-95.93597,13
D10_20190202_211438_9653,31.71602,-95.93352,13
D10_20190202_211438_9653,31.71513,-95.93114,13
D10_20190202_211438_9653,31.71423,-95.92885,13
D10_20190202_211438_9653,31.71346,-95.92678,13
D10_20190202_211438_9653,31.71237,-95.9241,13
D10_20190202_211438_9653,31.71141,-95.92149,13
D10_20190202_211438_9653,31.71045,-95.91927,13
D10_20190202_211438_9653,31.70961,-95.91713,13
D10_20190202_211438_9653,31.70871,-95.9149,13
D10_20190202_211438_9653,31.70769,-95.91253,13
D10_20190202_211438_9653,31.70679,-95.91038,13
D10_20190202_211438_9653,31.70595,-95.90824,13
D10_20190202_211438_9653,31.70486,-95.90563,13
D10_20190202_211438_9653,31.70384,-95.90311,13
D10_20190202_211438_9653,31.70294,-95.90088,13
D10_20190202_211438_9653,31.70191,-95.89843,13
D10_20190202_211438_9653,31.70095,-95.89606,13
D10_20190202_211438_9653,31.69998,-95.89368,13
D10_20190202_211438_9653,31.69812,-95.88901,13
D10_20190202_211438_9653,31.69722,-95.88671,13
D10_20190202_211438_9653,31.69633,-95.88434,13
D10_20190202_211438_9653,31.69549,-95.88227,13
D10_20190202_211438_9653,31.69459,-95.8799,13
D10_20190202_211438_9653,31.69376,-95.8776,13
